Movie,Scene,Character,Dialogue
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - MORNING,BATEMAN V/O,"i believe in taking care of myself, in a balanced diet, in a rigorous exercise routine. in the morning, if my face is a little puffy, i'll put on an ice pack while doing my stomach crunches. i can do a thousand now. bateman ties a plastic ice pack around his face. bateman does his morning stretching exercises in the living room wearing the ice pack a mirror lined bathroom. bateman is luxuriating in the shower steam, scrubbing his body, admiring his muscles. after i remove the icepack i use a deep pore cleanser lotion. in the shower i use a water activated gel cleanser, then a honeyalmond body scrub, and on the face an exfoliating gel scrub. bateman stands in front of a massive marble sink applying a gel facial masque. then i apply a herb mint facial masque which i leave on for ten minutes while i prepare the rest of my routine. bateman opens the door of a mirrored cabinet, which is stocked with immaculate rows of skin care products. he begins selecting bottles, jars and brushes, laying them in readiness on the marble counter. i always use an aftershave lotion with little or no alcohol because alcohol dries your face out and makes you look older. then moisturizer, then an antiaging eye balm, followed by a final moisturizing ""protective"" lotion..."
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - MORNING,BATEMAN V/O,"there is an idea of a patrick bateman, some kind of abstraction, but there is no real me, only an entity, something illusory, and though i can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable i simply am not there."
AMERICAN_PSYCHO,INT. BATEMAN BEDROOM - MORNING,BATEMAN V/O,"it is hard for me to make sense on any given level. myself is fabricated, an aberration. my personality is sketchy and unformed, my heartlessness goes deep and is persistent. fully dressed in armani, bateman stands in front of a full length mirror in the middle of his vast bedroom, adjusting his cuff links. my conscience, my pity, my hopes disappeared a long time ago, if they ever did exist. he gives a last look at the mirror and likes what he sees. he gives his reflection a smile."
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,MAN,"morning, hamilton. nice tan. bateman walks past the desk of jean, his secretary, pulling his walkman from around his neck. jean is attractive, wholesome, earnest. she smiles shyly. she loves him. late?"
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,JEAN,aerobics class. sorry. any messages? ricky hendricks has to cancel today. he didn't say what he was canceling or why. i occasionally box with ricky at the harvard club. anyone else? and... spencer wants to meet you for a drink at fluties pier 17. when?
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,BATEMAN,"after six. negative. cancel it. jean follows him into his office. oh? and what should i say? just...say...no. just say no? jean stands at his desk, waiting for instructions."
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,JEAN,"yes sir. she turns to leave. oh wait. and i need reservations for two at arcadia at eight tonight. jean turns around. oh, something...romantic? no, silly. forget it. i'll make them. thanks. i'll do it. no. no. be a doll and just get me a perrier, okay? you look nice today. jean exits. bateman straightens some magazines in his office, lifts a painting off the wall and puts it back at a slightly different angle. he fiddles with some pencils in a beer stein. he puts on some music and flips through a sports illustrated. he buzzes jean. she comes in a moment later with the perrier and a file. yes?"
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,BATEMAN,is that the ransom file? thanks. don't wear that outfit again. ummm... what? i didn't hear you.
AMERICAN_PSYCHO,INT. OFFICES OF PIERCE & PIERCE - DAY,BATEMAN,"you dont like this, i take it? come on, you're prettier than that. thanks, patrick. the phone rings and jean turns to leave. i'm not here. and high heels. i like high heels. as jan leaves, bateman clicks on the tv set in one corner of the room and starts watching jeopardy!"
AMERICAN_PSYCHO,INT. TAXI - EVENING,BATEMAN V/O,"i'd want a zydeco band, patrick. that's what i'd want, a zydeco band. or mariachi. or reggae. something ethnic to shock daddy. oh, i can't decide... and lots of chocolate truffles. godiva. and oysters on the halfshell. close on bateman, who is wearing a walkman and staring out the window."
